ORIGIN_AIRPORT_ABBREV,DESTINATION_AIRPORT_ABBREV
ABE,ATL
ABE,BNA
ABE,DTW
ABE,HNL
ABE,OKC
ABE,ORD
ABE,SAT
ABE,SDF
ABE,STL
ABI,ABQ
ABI,ATL
ABI,BQH
ABI,BWI
ABI,CAE
ABI,DAL
ABI,DAY
ABI,DCA
ABI,DEN
ABI,DFW
ABI,ELP
ABI,LAS
ABI,LAX
ABI,LGW
ABI,LHR
ABI,LON
ABI,LTN
ABI,MCI
ABI,MCO
ABI,OMA
ABI,ONT
ABI,ORF
ABI,PHL
ABI,PHX
ABI,RAP
ABI,RDU
ABI,RIC
ABI,SAN
ABI,SEA
ABI,SEN
ABI,SHV
ABI,SLC
ABI,SMF
ABI,STL
ABI,STN
ABI,TUS
ABI,VPS
ABQ,AGS
ABQ,ALB
ABQ,AMS
ABQ,ANC
ABQ,ATL
ABQ,AUS
ABQ,AVL
ABQ,BDL
ABQ,BHM
ABQ,BIL
ABQ,BIS
ABQ,BNA
ABQ,BOI
ABQ,BOS
ABQ,BQH
ABQ,BTR
ABQ,BUR
ABQ,BWI
ABQ,BZN
ABQ,CAE
ABQ,CHO
ABQ,CLE
ABQ,CLT
ABQ,CMH
ABQ,COS
ABQ,CRP
ABQ,CRW
ABQ,CVG
ABQ,DAL
ABQ,DAY
ABQ,DCA
ABQ,DEN
ABQ,DFW
ABQ,DHN
ABQ,DSM
ABQ,DTW
ABQ,ECP
ABQ,EWR
ABQ,FAI
ABQ,FAR
ABQ,FAT
ABQ,FLL
ABQ,FRA
ABQ,FSD
ABQ,FSM
ABQ,GEG
ABQ,GPT
ABQ,GRK
ABQ,GRR
ABQ,GTF
ABQ,GUM
ABQ,HLN
ABQ,HNL
ABQ,HOU
ABQ,HRL
ABQ,HSV
ABQ,IAD
ABQ,IAH
ABQ,ICT
ABQ,IDA
ABQ,IND
ABQ,JAN
ABQ,JAX
ABQ,JFK
ABQ,LAS
ABQ,LAW
ABQ,LAX
ABQ,LEX
ABQ,LGA
ABQ,LGW
ABQ,LHR
ABQ,LIH
ABQ,LIT
ABQ,LON
ABQ,LTN
ABQ,MCI
ABQ,MCO
ABQ,MDT
ABQ,MDW
ABQ,MEM
ABQ,MEX
ABQ,MFE
ABQ,MFR
ABQ,MGM
ABQ,MIA
ABQ,MKE
ABQ,MLB
ABQ,MOB
ABQ,MOT
ABQ,MRY
ABQ,MSN
ABQ,MSO
ABQ,MSP
ABQ,MSY
ABQ,OAJ
ABQ,OAK
ABQ,OGG
ABQ,OKA
ABQ,OKC
ABQ,OMA
ABQ,ONT
ABQ,ORD
ABQ,ORF
ABQ,PDX
ABQ,PHF
ABQ,PHL
ABQ,PHX
ABQ,PIT
ABQ,PNS
ABQ,PSC
ABQ,PSP
ABQ,PVD
ABQ,RAP
ABQ,RDM
ABQ,RDU
ABQ,RIC
ABQ,RNO
ABQ,SAN
ABQ,SAT
ABQ,SAV
ABQ,SBA
ABQ,SDF
ABQ,SEA
ABQ,SEL
ABQ,SEN
ABQ,SFO
ABQ,SHV
ABQ,SJC
ABQ,SJU
ABQ,SLC
ABQ,SMF
ABQ,SNA
ABQ,SPS
ABQ,STL
ABQ,STN
ABQ,SYR
ABQ,TPA
ABQ,TUL
ABQ,TUS
ABQ,TYO
ABQ,TYS
ABQ,VCE
ABQ,VPS
ABQ,YUM
ABR,DCA
ABR,MSP
ABV,ATL
ABV,BWI
ABV,DCA
ABV,IAD
ABY,ATL
ABY,BWI
ABY,DCA
ABY,DTW
ABY,HNL
ABY,LAS
ABY,OAJ
ABY,ORF
ABY,PHL
ABY,RIC
ABY,SAN
ABY,SEA
ABY,SHV
ABY,STL
ACC,ATL
ACC,BOS
ACC,BWI
ACC,DCA
ACC,EWR
ACC,IAD
ACC,JFK
ACC,LAX
ACC,LGA
ACC,NYC
ACC,RDU
ACK,BOS
ACK,DCA
ACT,BWI
ACT,DAL
ACT,DAY
ACT,DCA
ACT,DFW
ACT,ONT
ACT,SAN
ACT,SEA
ACV,DCA
ACV,IAD
ACV,LAX
ACV,PHX
ACV,SAN
ADD,BWI
ADD,DCA
ADD,IAD
ADK,ANC
ADK,SEA
ADL,BWI
ADL,DCA
ADL,IAD
ADL,LAX
ADL,SEA
ADQ,ANC
ADQ,DAL
ADQ,DCA
ADQ,DFW
ADQ,DUT
ADQ,FAI
ADQ,HNL
ADQ,JNU
ADQ,LAX
ADQ,OAK
ADQ,PDX
ADQ,SAN
ADQ,SEA
ADQ,SFO
AEP,BWI
AEP,DCA
AEP,EWR
AEP,HOU
AEP,IAD
AEP,IAH
AEP,JFK
AEP,LGA
AEP,MIA
AEP,NYC
AEP,ORF
AEX,AGS
AEX,ALB
AEX,ANC
AEX,ART
AEX,ATL
AEX,AUS
AEX,BDL
AEX,BKK
AEX,BNA
AEX,BOS
AEX,BUF
AEX,BWI
AEX,CAE
AEX,CHO
AEX,CHS
AEX,CLT
AEX,CMH
AEX,COS
AEX,CSG
AEX,DAL
AEX,DCA
AEX,DEN
AEX,DFW
AEX,DHN
AEX,DMK
AEX,DTW
AEX,ELP
AEX,EWR
AEX,FAY
AEX,GRK
AEX,HNL
AEX,HSV
AEX,IAD
AEX,IAH
AEX,IND
AEX,JAX
AEX,JFK
AEX,LAS
AEX,LAW
AEX,LAX
AEX,LGA
AEX,LSE
AEX,MCI
AEX,MCO
AEX,MDT
AEX,MHK
AEX,MIA
AEX,MLI
AEX,MSP
AEX,OKC
AEX,ONT
AEX,ORD
AEX,ORF
AEX,PDX
AEX,PHF
AEX,PHL
AEX,PHX
AEX,PIT
AEX,PVD
AEX,RDU
AEX,RIC
AEX,SAN
AEX,SAT
AEX,SAV
AEX,SDF
AEX,SEA
AEX,SFO
AEX,SJU
AEX,SLC
AEX,SMF
AEX,STL
AEX,SYR
AEX,TPA
AEX,TUS
AEX,TYO
AGS,ANC
AGS,ART
AGS,ATL
AGS,AUS
AGS,AVP
AGS,BDL
AGS,BNA
AGS,BOS
AGS,BQH
AGS,BWI
AGS,CHO
AGS,CLT
AGS,CMH
AGS,COS
AGS,CVG
AGS,DAL
AGS,DAY
AGS,DCA
AGS,DEN
AGS,DFW
AGS,DTW
AGS,DXB
AGS,ELP
AGS,EWR
AGS,FAI
AGS,FAY
AGS,FLL
AGS,FRA
AGS,GEG
AGS,GRK
AGS,HNL
AGS,HOU
AGS,HSV
AGS,IAD
AGS,IAH
AGS,IDA
AGS,IND
AGS,KWI
AGS,LAS
AGS,LAW
AGS,LAX
AGS,LGA
AGS,LGW
AGS,LHR
AGS,LIT
AGS,LON
AGS,LSE
AGS,LTN
AGS,MCI
AGS,MCO
AGS,MDT
AGS,MDW
AGS,MHK
AGS,MIA
AGS,MRY
AGS,MSP
AGS,MSY
AGS,MUC
AGS,OKC
AGS,OMA
AGS,ONT
AGS,ORD
AGS,ORF
