Departure Airport Code,Dep City,Dep State,Dep Country,Destination Airport Code,Destination City,Destination State,Destination Country,u_depart_date,u_return_date,u_business_class_indicator,COMMENTS
PWM,,,,EBL,,,,8/18/2017,8/21/2017,Coach,
IAD,,,,BKK,,,,8/4/2017,8/20/2017,Coach,
IAD,,,,DAC,,,,7/16/2017,8/15/2017,Business,
WAS,,,,GYD,,,,9/5/2017,9/22/2017,Business,
DCA,,,,ADA,,,,8/18/2017,10/20/2017,Coach,
IAD,,,,KEF,,,,7/14/2017,7/15/2017,Coach,
IAD,,,,KEF,,,,7/14/2017,7/15/2017,Coach,
IAD,,,,FRA,,,,10/10/2017,10/17/2017,Coach,
IAD,,,,ESB,,,,8/1/2017,8/5/2017,Business,
IAD,,,,ESB,,,,8/1/2017,8/5/2017,Coach,
IAD,,,,DBV,,,,7/24/2017,7/30/2017,Coach,
DCA,,,,NOC,,,,7/19/2017,10/9/2017,Coach,
ISB,,,,BOI,,,,8/10/2017,8/17/2017,Coach,
SBA,,,,DXB,,,,7/17/2017,7/21/2017,Business,
RDU,,,,ADL,,,,9/19/2017,10/9/2017,Coach,
IAD,,,,TGD,,,,7/26/2017,8/3/2017,Business,
ISB,,,,BOI,,,,8/10/2017,8/17/2017,Coach,
SBA,,,,DXB,,,,11/10/2017,11/17/2017,Coach,
BWI,,,,AMM,,,,9/30/2017,10/7/2017,Coach,
IAD,,,,EBL,,,,7/22/2017,8/26/2017,Business,
BKK,,,,PNS,,,,8/12/2017,8/30/2017,Coach,
BKK,,,,RIC,,,,8/26/2017,9/2/2017,Business,
BKK,,,,RIC,,,,8/26/2017,9/2/2017,Business,
BKK,,,,RIC,,,,8/26/2017,9/2/2017,Business,
BOG,,,,CVG,,,,10/5/2017,10/26/2017,Coach,
IAD,,,,ASB,,,,7/31/2017,9/20/2017,Business,
BOG,,,,MIA,,,,10/5/2017,10/26/2017,Coach,
ISB,,,,CHO,,,,9/15/2017,10/5/2017,Coach,
IAD,,,,MCT,,,,7/26/2017,7/28/2017,Business,
